doc height before warm 60840, after warm 60840  (stable)
height stable during the walk: true

  i   scrollY    b13 stage   sheet
   0     56412     1.000     0.000
   1     56464     1.000     0.000
   2     56516     1.000     0.000
   3     56569     1.000     0.000
   4     56621     1.000     0.000
   5     56673     1.000     0.000
   6     56725     1.000     0.000
   7     56777     1.000     0.000
   8     56830     1.000     0.000
   9     56882     1.000     0.000
  10     56934     1.000     0.000
  11     56986     1.000     0.000
  12     57038     1.000     0.000
  13     57091     1.000     0.000
  14     57143     1.000     0.000
  15     57195     1.000     0.000
  16     57247     0.984     0.000
  17     57299     0.869     0.000
  18     57352     0.751     0.000
  19     57404     0.636     0.000
  20     57456     0.520     0.000
  21     57508     0.404     0.000
  22     57560     0.289     0.000
  23     57613     0.171     0.000
  24     57665     0.056     0.000
  25     57717     0.000     0.000
  26     57769     0.000     0.000
  27     57821     0.000     0.000
  28     57874     0.000     0.000
  29     57926     0.000     0.000
  30     57978     0.000     0.000
  31     58030     0.000     0.000
  32     58082     0.000     0.000
  33     58135     0.000     0.000
  34     58187     0.000     0.000
  35     58239     0.000     0.000
  36     58291     0.000     0.088
  37     58343     0.000     0.196
  38     58396     0.000     0.304
  39     58448     0.000     0.411
  40     58500     0.000     0.518

  b13 stage falls monotonically to black and never returns
